Pair,Groupe,Feature,Type,Forward,IC,ICIR,IC_sign,p-value,n_obs,pct_pos,pct_pos_raw,Carry,Verdict
USDBRL,EM,Hurst,Existante,20j,0.027,0.05,1,0.1812,2456,54%,0.5417,-11.125,JETTE
USDBRL,EM,Mom_20,Nouvelle,20j,0.0191,0.117,1,0.344,2456,64%,0.6417,-11.125,JETTE
USDBRL,EM,Mom_60,Nouvelle,20j,0.0004,-0.644,1,0.9852,2456,27%,0.2667,-11.125,JETTE
USDBRL,EM,Mom_120,Nouvelle,20j,0.0286,0.038,1,0.1558,2456,48%,0.4833,-11.125,JETTE
USDBRL,EM,Mom_Ratio,Nouvelle,20j,0.0077,0.016,1,0.7038,2456,57%,0.5667,-11.125,JETTE
USDBRL,EM,BB_Width,Nouvelle,20j,-0.0124,-0.317,-1,0.5392,2456,32%,0.3167,-11.125,JETTE
USDBRL,EM,Dist_MA20,Nouvelle,20j,0.0206,0.273,1,0.3076,2456,62%,0.625,-11.125,JETTE
USDCAD,G10,Vol_20,Existante,5j,-0.0205,-0.443,-1,0.3091,2471,40%,0.3967,1.375,JETTE
USDCAD,G10,Hurst,Existante,5j,0.0226,0.347,1,0.2623,2471,68%,0.6777,1.375,JETTE
USDCAD,G10,Mom_20,Nouvelle,5j,-0.0103,-0.424,-1,0.6098,2471,36%,0.3636,1.375,JETTE
USDCAD,G10,Mom_60,Nouvelle,5j,-0.0265,-1.027,-1,0.1873,2471,14%,0.1405,1.375,JETTE
USDCAD,G10,Mom_120,Nouvelle,5j,-0.0183,-1.087,-1,0.362,2471,13%,0.1322,1.375,JETTE
USDCAD,G10,Mom_Ratio,Nouvelle,5j,-0.0003,-0.068,-1,0.9897,2471,47%,0.4711,1.375,JETTE
USDCAD,G10,BB_Width,Nouvelle,5j,-0.0004,-0.016,-1,0.9848,2471,47%,0.4711,1.375,JETTE
USDCAD,G10,Dist_MA20,Nouvelle,5j,-0.0025,-0.398,-1,0.9006,2471,31%,0.314,1.375,JETTE
USDCAD,G10,Vol_20,Existante,20j,0.0019,0.163,1,0.9248,2456,52%,0.5167,1.375,JETTE
USDCAD,G10,Hurst,Existante,20j,0.0066,0.029,1,0.7448,2456,51%,0.5083,1.375,JETTE
USDCAD,G10,Mom_20,Nouvelle,20j,-0.0228,-0.848,-1,0.2586,2456,26%,0.2583,1.375,JETTE
